Time,VIX
2025/1/2 3:15,17.24
2025/1/2 3:16,17.25
2025/1/2 3:17,17.28
2025/1/2 3:18,17.25
2025/1/2 3:19,17.23
2025/1/2 3:20,17.24
2025/1/2 3:21,17.24
2025/1/2 3:22,17.24
2025/1/2 3:23,17.27
2025/1/2 3:24,17.3
2025/1/2 3:25,17.38
2025/1/2 3:26,17.39
2025/1/2 3:27,17.39
2025/1/2 3:28,17.46
2025/1/2 3:29,17.49
2025/1/2 3:30,17.42
2025/1/2 3:31,17.48
2025/1/2 3:32,17.51
2025/1/2 3:33,17.52
2025/1/2 3:34,17.58
2025/1/2 3:35,17.54
2025/1/2 3:36,17.55
2025/1/2 3:37,17.56
2025/1/2 3:38,17.55
2025/1/2 3:39,17.52
2025/1/2 3:40,17.49
2025/1/2 3:41,17.48
2025/1/2 3:42,17.4
2025/1/2 3:43,17.43
2025/1/2 3:44,17.47
2025/1/2 3:45,17.49
2025/1/2 3:46,17.43
2025/1/2 3:47,17.39
2025/1/2 3:48,17.38
2025/1/2 3:49,17.41
2025/1/2 3:50,17.39
2025/1/2 3:51,17.41
2025/1/2 3:52,17.42
2025/1/2 3:53,17.44
2025/1/2 3:54,17.44
2025/1/2 3:55,17.42
2025/1/2 3:56,17.38
2025/1/2 3:57,17.37
2025/1/2 3:58,17.35
2025/1/2 3:59,17.38
2025/1/2 4:00,17.4
2025/1/2 4:01,17.36
2025/1/2 4:02,17.41
2025/1/2 4:03,17.45
2025/1/2 4:04,17.44
2025/1/2 4:05,17.42
2025/1/2 4:06,17.37
2025/1/2 4:07,17.39
2025/1/2 4:08,17.34
2025/1/2 4:09,17.34
2025/1/2 4:10,17.34
2025/1/2 4:11,17.33
2025/1/2 4:12,17.27
2025/1/2 4:13,17.28
2025/1/2 4:14,17.28
2025/1/2 4:15,17.3
2025/1/2 4:16,17.25
2025/1/2 4:17,17.25
2025/1/2 4:18,17.26
2025/1/2 4:19,17.25
2025/1/2 4:20,17.27
2025/1/2 4:21,17.28
2025/1/2 4:22,17.3
2025/1/2 4:23,17.28
2025/1/2 4:24,17.27
2025/1/2 4:25,17.29
2025/1/2 4:26,17.3
2025/1/2 4:27,17.32
2025/1/2 4:28,17.3
2025/1/2 4:29,17.29
2025/1/2 4:30,17.28
2025/1/2 4:31,17.31
2025/1/2 4:32,17.27
2025/1/2 4:33,17.28
2025/1/2 4:34,17.3
2025/1/2 4:35,17.28
2025/1/2 4:36,17.31
2025/1/2 4:37,17.33
2025/1/2 4:38,17.35
2025/1/2 4:39,17.45
2025/1/2 4:40,17.45
2025/1/2 4:41,17.45
2025/1/2 4:42,17.4
2025/1/2 4:43,17.37
2025/1/2 4:44,17.33
2025/1/2 4:45,17.34
2025/1/2 4:46,17.35
2025/1/2 4:47,17.33
2025/1/2 4:48,17.31
2025/1/2 4:49,17.31
2025/1/2 4:50,17.3
2025/1/2 4:51,17.31
2025/1/2 4:52,17.3
2025/1/2 4:53,17.34
2025/1/2 4:54,17.35
2025/1/2 4:55,17.34
2025/1/2 4:56,17.34
2025/1/2 4:57,17.33
2025/1/2 4:58,17.33
2025/1/2 4:59,17.28
2025/1/2 5:00,17.24
2025/1/2 5:01,17.29
2025/1/2 5:02,17.27
2025/1/2 5:03,17.27
2025/1/2 5:04,17.31
2025/1/2 5:05,17.3
2025/1/2 5:06,17.34
2025/1/2 5:07,17.34
2025/1/2 5:08,17.33
2025/1/2 5:09,17.31
2025/1/2 5:10,17.31
2025/1/2 5:11,17.31
2025/1/2 5:12,17.34
2025/1/2 5:13,17.37
2025/1/2 5:14,17.36
2025/1/2 5:15,17.35
2025/1/2 5:16,17.36
2025/1/2 5:17,17.35
2025/1/2 5:18,17.29
2025/1/2 5:19,17.29
2025/1/2 5:20,17.3
2025/1/2 5:21,17.31
2025/1/2 5:22,17.28
2025/1/2 5:23,17.29
2025/1/2 5:24,17.31
2025/1/2 5:25,17.31
2025/1/2 5:26,17.25
2025/1/2 5:27,17.26
2025/1/2 5:28,17.26
2025/1/2 5:29,17.26
2025/1/2 5:30,17.27
2025/1/2 5:31,17.25
2025/1/2 5:32,17.25
2025/1/2 5:33,17.25
2025/1/2 5:34,17.23
2025/1/2 5:35,17.22
2025/1/2 5:36,17.21
2025/1/2 5:37,17.2
2025/1/2 5:38,17.24
2025/1/2 5:39,17.23
2025/1/2 5:40,17.23
2025/1/2 5:41,17.24
2025/1/2 5:42,17.24
2025/1/2 5:43,17.24
2025/1/2 5:44,17.23
2025/1/2 5:45,17.24
2025/1/2 5:46,17.22
2025/1/2 5:47,17.22
2025/1/2 5:48,17.23
2025/1/2 5:49,17.24
2025/1/2 5:50,17.26
2025/1/2 5:51,17.27
2025/1/2 5:52,17.33
2025/1/2 5:53,17.37
2025/1/2 5:54,17.31
2025/1/2 5:55,17.27
2025/1/2 5:56,17.27
2025/1/2 5:57,17.28
2025/1/2 5:58,17.26
2025/1/2 5:59,17.24
2025/1/2 6:00,17.25
2025/1/2 6:01,17.29
2025/1/2 6:02,17.3
2025/1/2 6:03,17.29
2025/1/2 6:04,17.28
2025/1/2 6:05,17.29
2025/1/2 6:06,17.27
2025/1/2 6:07,17.28
2025/1/2 6:08,17.28
2025/1/2 6:09,17.28
2025/1/2 6:10,17.26
2025/1/2 6:11,17.25
2025/1/2 6:12,17.24
2025/1/2 6:13,17.24
2025/1/2 6:14,17.24
2025/1/2 6:15,17.27
2025/1/2 6:16,17.24
2025/1/2 6:17,17.24
2025/1/2 6:18,17.23
2025/1/2 6:19,17.23
2025/1/2 6:20,17.25
2025/1/2 6:21,17.26
2025/1/2 6:22,17.25
2025/1/2 6:23,17.24
2025/1/2 6:24,17.25
2025/1/2 6:25,17.27
2025/1/2 6:26,17.27
2025/1/2 6:27,17.25
2025/1/2 6:28,17.26
2025/1/2 6:29,17.25
2025/1/2 6:30,17.28
2025/1/2 6:31,17.28
2025/1/2 6:32,17.28
2025/1/2 6:33,17.3
2025/1/2 6:34,17.3
2025/1/2 6:35,17.27
2025/1/2 6:36,17.27
2025/1/2 6:37,17.27
2025/1/2 6:38,17.26
2025/1/2 6:39,17.25
2025/1/2 6:40,17.24
2025/1/2 6:41,17.25
2025/1/2 6:42,17.25
2025/1/2 6:43,17.19
2025/1/2 6:44,17.16
2025/1/2 6:45,17.16
2025/1/2 6:46,17.15
2025/1/2 6:47,17.1
2025/1/2 6:48,17.11
2025/1/2 6:49,17.1
2025/1/2 6:50,17.13
2025/1/2 6:51,17.13
2025/1/2 6:52,17.13
2025/1/2 6:53,17.12
2025/1/2 6:54,17.12
2025/1/2 6:55,17.11
2025/1/2 6:56,17.08
2025/1/2 6:57,17.1
2025/1/2 6:58,17.1
2025/1/2 6:59,17.1
2025/1/2 7:00,17.09
2025/1/2 7:01,17.06
2025/1/2 7:02,17.07
2025/1/2 7:03,17.09
2025/1/2 7:04,17.12
2025/1/2 7:05,17.11
2025/1/2 7:06,17.09
2025/1/2 7:07,17.11
2025/1/2 7:08,17.14
2025/1/2 7:09,17.07
2025/1/2 7:10,17.05
2025/1/2 7:11,17.07
2025/1/2 7:12,17.07
2025/1/2 7:13,17.05
2025/1/2 7:14,17.05
2025/1/2 7:15,17.06
2025/1/2 7:16,17.04
2025/1/2 7:17,17.07
2025/1/2 7:18,17.06
2025/1/2 7:19,17.08
2025/1/2 7:20,17.06
2025/1/2 7:21,17.06
2025/1/2 7:22,17.06
2025/1/2 7:23,17.09
2025/1/2 7:24,17.07
2025/1/2 7:25,17.05
2025/1/2 7:26,17.06
2025/1/2 7:27,17.07
2025/1/2 7:28,17.06
2025/1/2 7:29,17.07
2025/1/2 7:30,17.06
2025/1/2 7:31,17.09
2025/1/2 7:32,17.07
2025/1/2 7:33,17.08
2025/1/2 7:34,17.08
2025/1/2 7:35,17.08
2025/1/2 7:36,17.08
2025/1/2 7:37,17.08
2025/1/2 7:38,17.08
2025/1/2 7:39,17.08
2025/1/2 7:40,17.08
2025/1/2 7:41,17.11
2025/1/2 7:42,17.15
2025/1/2 7:43,17.18
2025/1/2 7:44,17.16
2025/1/2 7:45,17.17
2025/1/2 7:46,17.19
2025/1/2 7:47,17.2
2025/1/2 7:48,17.2
2025/1/2 7:49,17.22
2025/1/2 7:50,17.21
2025/1/2 7:51,17.25
2025/1/2 7:52,17.28
2025/1/2 7:53,17.26
2025/1/2 7:54,17.23
2025/1/2 7:55,17.24
2025/1/2 7:56,17.2
2025/1/2 7:57,17.16
2025/1/2 7:58,17.16
2025/1/2 7:59,17.16
2025/1/2 8:00,17.16
2025/1/2 8:01,17.15
2025/1/2 8:02,17.17
2025/1/2 8:03,17.13
2025/1/2 8:04,17.13
2025/1/2 8:05,17.14
2025/1/2 8:06,17.14
2025/1/2 8:07,17.13
2025/1/2 8:08,17.15
2025/1/2 8:09,17.19
2025/1/2 8:10,17.2
2025/1/2 8:11,17.21
2025/1/2 8:12,17.21
2025/1/2 8:13,17.2
2025/1/2 8:14,17.21
2025/1/2 8:15,17.21
2025/1/2 8:16,17.21
2025/1/2 8:17,17.23
2025/1/2 8:18,17.23
2025/1/2 8:19,17.26
2025/1/2 8:20,17.28
2025/1/2 8:21,17.26
2025/1/2 8:22,17.22
2025/1/2 8:23,17.22
2025/1/2 8:24,17.22
2025/1/2 8:25,17.23
2025/1/2 8:26,17.21
2025/1/2 8:27,17.2
2025/1/2 8:28,17.19
2025/1/2 8:29,17.2
2025/1/2 8:30,17.23
2025/1/2 8:31,17.2
2025/1/2 8:32,17.16
2025/1/2 8:33,17.13
2025/1/2 8:34,17.12
2025/1/2 8:35,17.12
2025/1/2 8:36,17.12
2025/1/2 8:37,17.13
2025/1/2 8:38,17.1
2025/1/2 8:39,17.09
2025/1/2 8:40,17.11
2025/1/2 8:41,17.07
2025/1/2 8:42,17.07
2025/1/2 8:43,17.06
2025/1/2 8:44,17.04
2025/1/2 8:45,17.09
2025/1/2 8:46,17.11
2025/1/2 8:47,17.1
2025/1/2 8:48,17.08
2025/1/2 8:49,17.09
2025/1/2 8:50,17.15
2025/1/2 8:51,17.19
2025/1/2 8:52,17.19
2025/1/2 8:53,17.18
2025/1/2 8:54,17.15
2025/1/2 8:55,17.16
2025/1/2 8:56,17.17
2025/1/2 8:57,17.18
2025/1/2 8:58,17.17
2025/1/2 8:59,17.17
2025/1/2 9:00,17.25
2025/1/2 9:01,17.33
2025/1/2 9:02,17.34
2025/1/2 9:03,17.42
2025/1/2 9:04,17.41
2025/1/2 9:05,17.39
2025/1/2 9:06,17.34
2025/1/2 9:07,17.33
2025/1/2 9:08,17.34
2025/1/2 9:09,17.32
2025/1/2 9:10,17.34
2025/1/2 9:11,17.34
2025/1/2 9:12,17.33
2025/1/2 9:13,17.33
2025/1/2 9:14,17.3
2025/1/2 9:15,17.24
2025/1/2 9:16,17.28
2025/1/2 9:17,17.29
2025/1/2 9:18,17.28
2025/1/2 9:19,17.32
2025/1/2 9:20,17.34
2025/1/2 9:21,17.32
2025/1/2 9:22,17.34
2025/1/2 9:23,17.3
2025/1/2 9:24,17.34
2025/1/2 9:25,17.36
2025/1/2 9:31,17.33
2025/1/2 9:32,17.36
2025/1/2 9:33,17.56
2025/1/2 9:34,17.57
2025/1/2 9:35,17.89
2025/1/2 9:36,17.94
2025/1/2 9:37,17.97
2025/1/2 9:38,18
2025/1/2 9:39,18.07
2025/1/2 9:40,18.04
2025/1/2 9:41,18.1
2025/1/2 9:42,18.1
2025/1/2 9:43,18.15
2025/1/2 9:44,18.1
2025/1/2 9:45,17.98
2025/1/2 9:46,17.97
2025/1/2 9:47,17.85
2025/1/2 9:48,17.8
2025/1/2 9:49,17.72
2025/1/2 9:50,17.56
2025/1/2 9:51,17.6
2025/1/2 9:52,17.53
2025/1/2 9:53,17.43
2025/1/2 9:54,17.3
2025/1/2 9:55,17.14
2025/1/2 9:56,17.19
2025/1/2 9:57,17.2
2025/1/2 9:58,17.29
2025/1/2 9:59,17.28
2025/1/2 10:00,17.24
2025/1/2 10:01,17.23
2025/1/2 10:02,17.16
2025/1/2 10:03,17.21
2025/1/2 10:04,17.18
2025/1/2 10:05,17.16
2025/1/2 10:06,17.15
2025/1/2 10:07,17.21
2025/1/2 10:08,17.2
2025/1/2 10:09,17.16
2025/1/2 10:10,17.18
2025/1/2 10:11,17.06
2025/1/2 10:12,17.12
2025/1/2 10:13,17.02
2025/1/2 10:14,17.02
2025/1/2 10:15,17.01
2025/1/2 10:16,16.97
2025/1/2 10:17,17.02
2025/1/2 10:18,17.06
2025/1/2 10:19,17.1
2025/1/2 10:20,17.24
2025/1/2 10:21,17.47
2025/1/2 10:22,17.52
2025/1/2 10:23,17.5
2025/1/2 10:24,17.45
2025/1/2 10:25,17.36
2025/1/2 10:26,17.33
2025/1/2 10:27,17.38
2025/1/2 10:28,17.53
2025/1/2 10:29,17.46
2025/1/2 10:30,17.46
2025/1/2 10:31,17.75
2025/1/2 10:32,17.69
2025/1/2 10:33,17.6
2025/1/2 10:34,17.51
2025/1/2 10:35,17.71
2025/1/2 10:36,17.55
2025/1/2 10:37,17.54
2025/1/2 10:38,17.59
2025/1/2 10:39,17.56
2025/1/2 10:40,17.48
2025/1/2 10:41,17.68
2025/1/2 10:42,17.68
2025/1/2 10:43,17.68
2025/1/2 10:44,17.63
2025/1/2 10:45,17.59
2025/1/2 10:46,17.63
2025/1/2 10:47,17.67
2025/1/2 10:48,17.52
2025/1/2 10:49,17.31
2025/1/2 10:50,17.3
2025/1/2 10:51,17.18
2025/1/2 10:52,17.14
2025/1/2 10:53,17.34
2025/1/2 10:54,17.17
2025/1/2 10:55,17.14
2025/1/2 10:56,17.17
2025/1/2 10:57,17.19
2025/1/2 10:58,17.22
2025/1/2 10:59,17.3
2025/1/2 11:00,17.31
2025/1/2 11:01,17.31
2025/1/2 11:02,17.48
2025/1/2 11:03,17.59
2025/1/2 11:04,17.87
2025/1/2 11:05,17.76
2025/1/2 11:06,17.66
2025/1/2 11:07,17.77
2025/1/2 11:08,17.79
2025/1/2 11:09,17.74
2025/1/2 11:10,17.83
2025/1/2 11:11,17.8
2025/1/2 11:12,17.75
